PACKAGE,VERSION/Commit Hash,SOURCE SITE
adduser,3.115,
apt,1.4.11,
apt-transport-https,1.4.11,
apt-utils,1.4.11,
avahi-daemon,0.6.32-2,
base-files,9.9+deb9u13,
base-passwd,3.5.43,
bash,4.4-5,
bind9-host,1:9.11.5.P4+dfsg-5~bpo9+1,
binutils,2.28-5,
bluez,5.43-2+deb9u3,
bsdutils,1:2.29.2-1+deb9u1,
busybox-static,1:1.22.0-19+b3,
bzip2,1.0.6-8.1,
ca-certificates,20200601~deb9u1,
cifs-utils,2:6.7-1,
coreutils,8.26-3,
cpio,2.11+dfsg-6,
cron,3.0pl1-128+deb9u1,
curl,7.52.1-5+deb9u12,
dash,0.5.8-2.4,
dbus,1.10.32-0+deb9u1,
debconf,1.5.61,
debian-archive-keyring,2017.5+deb9u1,
debianutils,4.8.1.1,
dh-python,3.20180723~bpo9+1,
dialog,1.3-20160828-2,
diffutils,1:3.5-3,
dirmngr,2.2.12-1+deb10u1~bpo9+1,
distro-info-data,0.41+deb10u2~bpo9+1,
dmsetup,2:1.02.137-2,
dpkg,1.18.25,
dpkg-dev,1.18.25,
e2fslibs,1.44.5-1~bpo9+1,
e2fsprogs,1.44.5-1~bpo9+1,
ethtool,1:4.8-1+b1,
findutils,4.6.0+git+20161106-2,
gcc-6-base,6.3.0-18+deb9u1,
gir1.2-glib-2.0,1.50.0-1+b1,
gnupg,2.2.12-1+deb10u1~bpo9+1,
gnupg-l10n,2.2.12-1+deb10u1~bpo9+1,
gnupg-utils,2.2.12-1+deb10u1~bpo9+1,
gpg,2.2.12-1+deb10u1~bpo9+1,
gpg-agent,2.2.12-1+deb10u1~bpo9+1,
gpg-wks-client,2.2.12-1+deb10u1~bpo9+1,
gpg-wks-server,2.2.12-1+deb10u1~bpo9+1,
gpgconf,2.2.12-1+deb10u1~bpo9+1,
gpgsm,2.2.12-1+deb10u1~bpo9+1,
gpgv,2.2.12-1+deb10u1~bpo9+1,
grep,3.3-1~bpo9+1,
gzip,1.6-5+b1,
hddtemp,0.3-beta15-52+b1,
hdparm,9.51+ds-1+deb9u1,
hostname,3.18+b1,
htop,2.0.2-1,
init-system-helpers,1.56~bpo9+1,
initramfs-tools,0.13,
initramfs-tools-core,0.13,
iotop,0.6-2,
iproute,1:4.9.0-1+deb9u1,
iproute2,4.20.0-2~bpo9+1,
iptables,1.6.2-1.1~bpo9+1,
iputils-ping,3:20161105-1,
jq,1.5+dfsg-1.3,
keyutils,1.5.9-9,
klibc-utils,2.0.4-9,
kmod,23-2,
less,481-2.1,
libacl1,2.2.52-3+b1,
libapparmor1,2.11.0-3+deb9u2,
libapt-inst2.0,1.4.11,
libapt-pkg5.0,1.4.11,
libassuan0,2.5.2-1~bpo9+1,
libattr1,1:2.4.47-2+b2,
libaudit-common,1:2.6.7-2,
libaudit1,1:2.6.7-2,
libavahi-client3,0.6.32-2,
libavahi-common-data,0.6.32-2,
libavahi-common3,0.6.32-2,
libavahi-core7,0.6.32-2,
libbind9-161,1:9.11.5.P4+dfsg-5~bpo9+1,
libblkid1,2.29.2-1+deb9u1,
libbluetooth3,5.43-2+deb9u3,
libbsd0,0.8.3-1,
libbz2-1.0,1.0.6-8.1,
libc-bin,2.24-11+deb9u4,
libc-l10n,2.24-11+deb9u4,
libc6,2.24-11+deb9u4,
libcap-ng0,0.7.7-3+b1,
libcap2,1:2.25-1,
libcap2-bin,1:2.25-1,
libcom-err2,1.44.5-1~bpo9+1,
libcomerr2,1.44.5-1~bpo9+1,
libcryptsetup4,2:1.7.3-4,
libcups2,2.2.1-8+deb9u6,
libcurl3,7.52.1-5+deb9u12,
libcurl3-gnutls,7.52.1-5+deb9u12,
libcurlpp,592552a165cc569dac7674cb7fc9de3dc829906f,https://github.com/jpbarrette/curlpp  
libdaemon0,0.14-6,
libdb5.3,5.3.28-12+deb9u1,
libdbus-1-3,1.10.32-0+deb9u1,
libdbus-glib-1-2,0.108-2,
libdebconfclient0,0.227,
libdevmapper1.02.1,2:1.02.137-2,
libdns1104,1:9.11.5.P4+dfsg-5~bpo9+1,
libdpkg-perl,1.18.25,
libedit2,3.1-20160903-3,
libelf1,0.168-1,
libevent-2.0-5,2.0.21-stable-3,
